image_path,bridges_any,bridges_damage,buildings_affected,buildings_any,buildings_destroyed,buildings_major,buildings_minor,debris_any,flooding_any,flooding_structures,roads_any,roads_damage,trees_any,trees_damage,water_any
D:\ladidataset\ladi_v2_resized\v2\images_resized\9099\615177\DSC_3534_14bb54dc-665c-4f21-bd7f-84e5d5d046ae.jpg,0.002389942,0.00014416965,0.7604211,0.987017,0.16263862,0.04067464,0.33970904,0.13520017,0.011043757,0.012163275,0.1437388,0.013640857,0.9946203,0.2371766,0.06707853
D:\ladidataset\ladi_v2_resized\v2\images_resized\9073\613937\DSC_1684_8186e23e-2a42-4373-aea0-159007bf5da2.jpg,0.030341323,0.005517931,0.03993971,0.66906285,0.0030919649,0.0047732512,0.0060146665,0.00919812,0.13137677,0.00631283,0.9504906,0.0160095,0.8364356,0.031121487,0.9940613
D:\ladidataset\ladi_v2_resized\v2\images_resized\9213\618222\0_000_03e1574b5e-19ed-4149-9edc-1a367921308a.jpg,0.009959581,0.010537664,0.0044967164,0.0043463195,0.00566124,0.0030957195,0.0053166645,0.0037912792,0.011322553,0.003592025,0.15008812,0.0064066984,0.9909909,0.04431549,0.053696416
D:\ladidataset\ladi_v2_resized\v2\images_resized\2016\70331\DSC_0479_88a7bb0b-749b-4b33-9429-39e0e6e0d9bd.jpg,0.0036100291,0.000881059,0.0075085657,0.045149267,0.000496705,0.0011458702,0.0016373604,0.0003151793,0.18138735,0.0030340105,0.2781019,0.002818356,0.9877555,0.0073125986,0.24278511
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_TS_Fiona_Sept_2022\Source\22-1-5800\A0021\1_000_00_005.jpg,0.003242431,0.00087675574,0.3520516,0.87684137,0.000981769,0.00020115505,0.0014516693,0.0026875995,0.025679294,0.0038932909,0.629946,0.0050097355,0.8411268,0.001630336,0.1637893
D:\ladidataset\ladi_v2_resized\v2\images_resized\1013\20195\DSC_0401_bf89e9a8-90ad-40c1-ab4f-b67bf6c3cc21.jpg,0.0006571643,0.00025202087,0.0052986895,0.026627375,0.00041832423,0.00017847386,0.0008837138,0.0065484564,0.0013515443,0.00018131449,0.011594143,0.00075607316,0.86490697,0.015029705,0.45043665
D:\ladidataset\ladi_v2_resized\v2\images_resized\9074\613734\ALW_3496_a0254272-5171-479f-bdfd-353947185441.jpg,0.035209898,0.0067704082,0.008779137,0.22714193,0.00069533946,0.0049680215,0.0050327936,0.0018823122,0.3462816,0.010806464,0.61730546,0.03420479,0.961281,0.030567527,0.43347606
D:\ladidataset\ladi_v2_resized\v2\images_resized\9188\617487\DSC_05860586a2a2-6c73-4777-8e40-756cb9959475.jpg,0.002474974,0.001352825,0.88129425,0.8833624,0.01596375,0.010242002,0.03592573,0.076574706,0.071267925,0.045248654,0.43950847,0.02361753,0.7592574,0.051985756,0.2807565
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_Hur_Ian_Sept_2022\Source\23-1-3141\A0024A\0_000_13_066.jpg,0.0024729748,0.004104326,0.07509987,0.2369299,0.0031885293,0.0045673363,0.010498751,0.038411856,0.010848125,0.003284625,0.0072558126,0.02461641,0.2580089,0.008826176,0.052220613
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_Hur_Ian_Sept_2022\Source\23-1-3472\A0003\0_000_04_079.jpg,0.0063727554,0.0028452477,0.010891,0.084424324,0.0022666976,0.000580571,0.023260448,0.005064021,0.004424432,0.0023092479,0.02209609,0.0023302299,0.257591,0.0017423417,0.028613918
D:\ladidataset\ladi_v2_resized\v2\images_resized\9132\615935\DSC_1452_bfaa2a32-5c2d-4d2e-aec8-e6516c590d06.jpg,0.9960705,0.04883494,0.31881532,0.902158,0.00068592496,0.0054724137,0.0019435615,0.0022123337,0.3169241,0.106153,0.9831697,0.011019555,0.3903548,0.036238905,0.9663758
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_Hur_Ian_Sept_2022\Source\23-1-3472\A0051\0_000_05_188.jpg,0.0014144306,0.0002066846,0.10521206,0.4827599,0.00024125466,0.00062782527,0.00097317,0.002839708,0.0010697254,0.00016963138,0.673447,0.00037494447,0.8993127,0.002689016,0.26985407
D:\ladidataset\ladi_v2_resized\v2\images_resized\9188\617480\DSC_0866ff009a2d-896f-4887-a026-115d70727144.jpg,0.010072836,0.00029170944,0.26921913,0.9995697,0.0015790248,0.005437325,0.008622735,0.033495784,0.098520026,0.0166454,0.99657923,0.0059892572,0.96613806,0.43945822,0.913871
