image_path,width,height,url,bridges_any_x,bridges_damage_x,buildings_affected_x,buildings_any_x,buildings_destroyed_x,buildings_major_x,buildings_minor_x,debris_any_x,flooding_any_x,flooding_structures_x,roads_any_x,roads_damage_x,trees_any_x,trees_damage_x,water_any_x,lat,lon,bridges_any_y,bridges_damage_y,buildings_affected_y,buildings_any_y,buildings_destroyed_y,buildings_major_y,buildings_minor_y,debris_any_y,flooding_any_y,flooding_structures_y,roads_any_y,roads_damage_y,trees_any_y,trees_damage_y,water_any_y
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_Hur_Ian_Sept_2022\Source\23-1-3141\A0023A\1_000_02_199.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/CAP_-_Hur_Ian_Sept_2022/Source/23-1-3141/A0023A/1_000_02_199.jpg,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,37.06355835028602,-121.62266064661902,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_Hur_Ian_Sept_2022\Source\23-1-3141\A0051\1_000_08_083.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/CAP_-_Hur_Ian_Sept_2022/Source/23-1-3141/A0051/1_000_08_083.jpg,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,37.89482735042765,-122.01054723972244,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
D:\ladidataset\ladi_v2_resized\v2\images_resized\9074\613727\DSC_0728_b024ec77-8c09-43ae-9cb3-6e1048f3e4bf.jpg,1800,1196,https://fema-cap-imagery.s3.amazonaws.com/Images/9074/613727/DSC_0728_b024ec77-8c09-43ae-9cb3-6e1048f3e4bf.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,37.772244769296655,-121.82243563815771,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_TS_Fiona_Sept_2022\Source\22-1-5800\A0018\0_000_08_044.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/CAP_-_TS_Fiona_Sept_2022/Source/22-1-5800/A0018/0_000_08_044.jpg,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,37.66252228435398,-122.46311305264548,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\9213\618249\1_000_12442eae96-3271-4976-bed3-343fe71754f2.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/9213/618249/1_000_12442eae96-3271-4976-bed3-343fe71754f2.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,37.258779981600014,-122.21515950562254,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_KY_Flooding_July_2022\Source\22-1-5611\A0028\0_000_08_052.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/CAP_-_KY_Flooding_July_2022/Source/22-1-5611/A0028/0_000_08_052.jpg,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,37.4401524937396,-121.52821791727904,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\9075\614011\A0008AP-_c0b66942-7c31-414e-b263-f6bc2b9ef810.jpg,1798,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/9075/614011/A0008AP-_c0b66942-7c31-414e-b263-f6bc2b9ef810.jpg,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,37.29214464853522,-122.18199652502814,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
D:\ladidataset\ladi_v2_resized\v2\images_resized\9213\618261\1_000_1976e2a714-7127-4dfd-af92-1afeccca238f.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/9213/618261/1_000_1976e2a714-7127-4dfd-af92-1afeccca238f.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,37.86310342587559,-122.15893364894974,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\9132\615935\DSC_1452_bfaa2a32-5c2d-4d2e-aec8-e6516c590d06.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/9132/615935/DSC_1452_bfaa2a32-5c2d-4d2e-aec8-e6516c590d06.jpg,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,37.02058449429581,-122.21024854708624,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
D:\ladidataset\ladi_v2_resized\v2\images_resized\9099\615177\DSC_3534_14bb54dc-665c-4f21-bd7f-84e5d5d046ae.jpg,1798,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/9099/615177/DSC_3534_14bb54dc-665c-4f21-bd7f-84e5d5d046ae.jpg,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,37.37454011884736,-122.46857081431328,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_Hur_Ian_Sept_2022\Source\23-1-3141\A0050\0_000_02_359.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/CAP_-_Hur_Ian_Sept_2022/Source/23-1-3141/A0050/0_000_02_359.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37.43194501864212,-121.60744100151004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_Hur_Idalia_Aug_2023\Source\23-1-5699\A03_AerialOblique\DSC_1517.JPG,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/CAP_-_Hur_Idalia_Aug_2023/Source/23-1-5699/A03_AerialOblique/DSC_1517.JPG,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,37.60754485190144,-122.0825889968512,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_Hur_Ian_Sept_2022\Source\23-1-3472\A0050\1_000_01_332.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/CAP_-_Hur_Ian_Sept_2022/Source/23-1-3472/A0050/1_000_01_332.jpg,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,37.81546142845483,-122.27350422480208,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_PA_Storms_Aug_2023\Source\23-C-5603\A0004_AerialNadir\1_000_04_079.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/CAP_-_PA_Storms_Aug_2023/Source/23-C-5603/A0004_AerialNadir/1_000_04_079.jpg,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,37.94888553725333,-122.16238482859636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_KY_Flooding_July_2022\Source\22-1-5611\A0027\0_000_03_086.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/CAP_-_KY_Flooding_July_2022/Source/22-1-5611/A0027/0_000_03_086.jpg,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,37.1195942459383,-122.4068972321941,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_TS_Fiona_Sept_2022\Source\22-1-5800\A0021\1_000_00_005.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/CAP_-_TS_Fiona_Sept_2022/Source/22-1-5800/A0021/1_000_00_005.jpg,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,37.15601864044244,-121.5924335260739,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_MS_Tornadoes_MAR_2023\Source\23-1-4838\A0008-B\1_000_01_038.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/CAP_-_MS_Tornadoes_MAR_2023/Source/23-1-4838/A0008-B/1_000_01_038.jpg,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,37.771270346685945,-121.80906226189754,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\CAP_-_PA_Storms_Aug_2023\Source\23-C-5603\A0004_AerialNadir\1_000_00_021.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/CAP_-_PA_Storms_Aug_2023/Source/23-C-5603/A0004_AerialNadir/1_000_00_021.jpg,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,37.07404465173409,-122.11326465369946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\9188\617480\DSC_0866ff009a2d-896f-4887-a026-115d70727144.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/9188/617480/DSC_0866ff009a2d-896f-4887-a026-115d70727144.jpg,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,37.83244264080042,-121.57030234765745,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
D:\ladidataset\ladi_v2_resized\v2\images_resized\9213\618292\0_000_166c01dfd1-5563-4753-bfb9-851cff33f3ee.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/9213/618292/0_000_166c01dfd1-5563-4753-bfb9-851cff33f3ee.jpg,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,37.170524123687294,-122.27789218952928,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
D:\ladidataset\ladi_v2_resized\v2\images_resized\9213\618290\1_000_047267fc06-e04d-494a-a21d-4faa71743a63.jpg,1800,1200,https://fema-cap-imagery.s3.amazonaws.com/Images/9213/618290/1_000_047267fc06-e04d-494a-a21d-4faa71743a63.jpg,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,37.92187423502312,-122.2579447284885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
